ID,Name,Age,Date_of_Joining,Salary,Department
1,Bob,41,2020-01-08,N/A,IT
2,,28,,,Finance
3,Diana,39,2021-11-13,84040,IT
4,Charlie,35,2023-06-09,46211,
5,Alice,33,2021-03-24,,Sales
6,Alice,,2023-09-14,75968,Sales
7,Alice,24,2023-06-22,84575,IT
8,Diana,21,2020-10-08,55599,Sales
9,Charlie,unknown,2023-01-02,97055,IT
10,Diana,32,2020-01-13,35355,Sales
11,Alice,43,,68342,Finance
12,,20,InvalidDate,32257,
13,Diana,34,2021-07-12,56654,
14,Alice,unknown,2022-03-27,59320,Sales
15,Alice,,2021-09-07,64773,Finance
16,Alice,46,InvalidDate,87505,HR
17,Bob,20,2021-12-20,77377,Sales
18,Charlie,22,InvalidDate,85621,HR
19,Bob,40,2023-06-26,46923,Sales
20,Bob,25,2022-03-09,N/A,Finance
21,Charlie,,2021-11-18,63002,Finance
22,Alice,,2022-12-13,56672,
23,Bob,unknown,,85860,IT
24,Bob,unknown,2023-08-23,32100,IT
25,Bob,38,2023-03-12,58172,IT
26,Diana,33,2021-03-22,N/A,Finance
27,Alice,,2023-09-27,38016,Sales
28,Charlie,32,2021-03-03,61881,Finance
29,Charlie,20,2021-01-07,81813,
30,Alice,21,2021-05-26,66021,Sales
31,Charlie,27,2023-05-04,42828,Finance
32,Alice,45,2021-04-28,31401,Sales
33,Alice,unknown,2020-03-09,74864,IT
34,,unknown,InvalidDate,49611,Finance
35,,,2021-04-06,N/A,
36,Diana,unknown,,62245,HR
37,Bob,44,2023-03-13,N/A,Finance
38,Alice,34,2020-01-03,60116,IT
39,Charlie,24,2023-07-10,50447,IT
40,Bob,unknown,2021-02-23,59336,IT
41,Alice,26,InvalidDate,99561,Sales
42,Bob,,2022-08-07,91240,IT
43,Alice,37,2021-07-06,76607,IT
44,,49,2020-09-28,85668,HR
45,Bob,,2020-05-01,N/A,Finance
46,Charlie,39,2023-04-13,83554,HR
47,Bob,unknown,2022-11-10,N/A,Finance
48,Charlie,47,2021-10-10,57606,IT
49,Charlie,unknown,2020-01-05,41308,HR
50,Alice,unknown,2022-12-01,75671,Finance
51,,,2021-04-28,32204,HR
52,Diana,unknown,2020-05-12,61131,
53,,39,2020-08-12,79067,
54,Diana,21,2022-06-12,,IT
55,Charlie,21,2023-02-14,41908,
56,,30,2022-05-20,91215,Sales
57,Alice,30,2020-07-03,68458,IT
58,Alice,44,2020-11-05,90614,HR
59,Alice,35,2022-12-10,N/A,Sales
60,Bob,41,2021-08-27,85751,Sales
61,Bob,23,,84254,IT
62,Bob,43,2022-08-15,95344,Sales
63,Diana,22,2022-12-06,53091,IT
64,Bob,37,,53989,Sales
65,Bob,38,,48990,
66,Charlie,24,2020-07-08,66081,Finance
67,Alice,29,2021-05-15,46241,Sales
68,Diana,40,,35939,Finance
69,Alice,24,2022-10-18,65063,IT
70,,unknown,2021-08-15,57045,Sales
71,Diana,36,2023-11-08,77118,HR
72,Alice,32,2023-01-01,51625,IT
73,Alice,unknown,2023-05-16,57076,HR
74,Diana,44,,N/A,IT
75,Diana,unknown,2021-09-01,69121,Finance
76,Diana,35,2023-09-21,73309,Sales
77,Diana,unknown,2020-11-04,97293,HR
78,Alice,unknown,2021-04-06,68405,IT
79,Bob,,2021-02-13,30492,Finance
80,Alice,34,2022-11-01,,Sales
81,Diana,41,2021-07-25,N/A,
82,Charlie,47,2020-12-26,43979,
83,Bob,unknown,2020-03-28,58328,Sales
84,Alice,45,2020-01-17,89234,Sales
85,Bob,43,2021-10-11,45449,HR
86,Bob,unknown,2021-10-02,35451,Finance
87,Diana,unknown,,,Finance
88,Charlie,47,2021-06-28,68870,Sales
89,Diana,45,2021-09-12,60873,
90,Bob,38,2023-05-15,96155,HR
91,Alice,unknown,2022-11-16,33642,
92,Diana,47,,,IT
93,Diana,unknown,2020-05-23,,IT
94,Charlie,41,,80081,HR
95,Diana,31,2023-11-19,48793,HR
96,Bob,32,2020-06-19,66191,IT
97,Charlie,23,2020-04-16,93069,IT
98,Bob,28,2021-11-15,51542,HR
99,Alice,34,2023-10-04,85388,IT
100,Alice,41,2021-01-13,52601,Sales
101,Alice,27,2020-11-07,,Sales
102,Charlie,31,2021-07-13,N/A,
103,Bob,28,2022-08-17,54532,Finance
104,Charlie,39,2021-08-04,93227,Finance
105,,21,2021-07-22,50022,Sales
106,Alice,,,35722,Finance
107,Bob,,2022-06-22,96732,HR
108,Diana,40,2023-09-26,53816,Finance
109,Alice,25,2021-08-26,,Finance
110,Alice,35,2021-08-24,97712,Finance
111,Bob,30,2021-11-05,83574,Finance
112,Alice,49,2023-03-04,39171,Finance
113,,unknown,2021-09-18,33696,HR
114,Diana,22,2021-01-23,50313,IT
115,Charlie,27,InvalidDate,,IT
116,Diana,43,2020-07-21,34956,IT
117,Diana,21,2023-05-15,96641,HR
118,Alice,unknown,2022-11-10,,Finance
119,Diana,,,,IT
120,Charlie,49,2022-07-21,N/A,IT
121,Diana,unknown,2021-06-07,39256,IT
122,Diana,21,2022-07-24,,Finance
123,Bob,27,2022-04-26,N/A,
124,Alice,unknown,2023-07-13,64540,Finance
125,Alice,,2023-05-01,93043,Finance
126,Bob,23,2020-08-01,32871,IT
127,Diana,unknown,2020-07-04,52626,IT
128,Diana,31,InvalidDate,96668,Finance
129,Alice,unknown,InvalidDate,,Finance
130,Charlie,25,2021-03-22,75607,Sales
